,model_name_short,mean_accuracy
0,Meta-Llama-3.1-405B-Instruct-Turbo,0.116573199527745
1,Meta-Llama-3.3-70B-Instruct-Turbo,0.07166123778501629
2,claude-3-5-haiku-20241022,0.09446254071661238
3,claude-3-5-sonnet-20241022,0.42067998113407196
4,claude-3-7-sonnet-20250219,0.4326093007686267
5,claude-3.5-sonnet-2024-10-22,0.3778
6,deepseek-ai/deepseek-coder-33b-instruct,0.05233333333333333
7,gpt-4-turbo-2024-04-09,0.213875
8,gpt-4o-2024-05-13,0.32413874747944776
9,gpt-4o-2024-08-06,0.319
10,gpt-4o-2024-11-20,0.47163449144180375
11,gpt-4o-mini-2024-07-18,0.28846435233296996
12,meta-llama/Llama-3-70b-chat-hf,0.11149999999999999
13,o1-2024-12-17,0.5010396027753538
14,o1-mini-2024-09-12,0.29316537049313085
15,o1-preview-2024-09-12,0.2616764233241506
16,o3-mini-2025-01-14,0.25
17,o3-mini-2025-01-31,0.4489212018213576
