,model_name_short,mean_of_mean_latency
0,claude-3-7-sonnet-2025-02-19,226.82808909323575
1,claude-3-7-sonnet-2025-02-19 high,253.3910410580506
2,claude-3-7-sonnet-2025-02-19 low,205.1575048125072
3,deepseek-ai/DeepSeek-R1,280.4935276349467
4,deepseek-ai/DeepSeek-V3,264.8282661646377
5,gemini-2.0-flash,130.17271596427284
6,gpt-4.1-2025-04-14,187.55825339107093
7,o3-2025-04-16,290.90642074695705
8,o3-2025-04-16 low,129.22053353375117
9,o4-mini-2025-04-16,316.8539190329159
10,o4-mini-2025-04-16 high,338.79852127040965
11,o4-mini-2025-04-16 low,210.95012944273546
