model_name_short,win_rate_mean,win_rate_std,win_rate_count,wins_sum,comparisons_sum,overall_win_rate
claude-3-7-sonnet-2025-02-19,0.5382653061224489,0.3832230109130902,21,70,132,0.5303030303030303
claude-3-7-sonnet-2025-02-19 high,0.6820436507936508,0.2918869908775503,12,61,89,0.6853932584269663
deepseek-ai/DeepSeek-R1,0.14250700280112044,0.17950488401346412,17,16,111,0.14414414414414414
deepseek-ai/DeepSeek-V3,0.3195578231292517,0.273237386570998,21,42,134,0.31343283582089554
gemini-2.0-flash,0.20388888888888887,0.24347804226925954,15,18,99,0.18181818181818182
gpt-4.1-2025-04-14,0.5748866213151927,0.2911722984148999,21,76,131,0.5801526717557252
o3-2025-04-03,0.42857142857142855,,1,3,7,0.42857142857142855
o3-2025-04-16,0.6617063492063492,0.26612394202397704,12,52,81,0.6419753086419753
o4-mini-2025-04-16 high,0.6471804511278195,0.2601371963830579,19,84,126,0.6666666666666666
o4-mini-2025-04-16 low,0.6176691729323308,0.29786161098399433,19,77,126,0.6111111111111112
