model_name_short,win_rate_mean,win_rate_std,win_rate_count,wins_sum,comparisons_sum,overall_win_rate
claude-3-7-sonnet-2025-02-19,0.6038961038961039,0.3463791041875499,11,47,79,0.5949367088607594
claude-3-7-sonnet-2025-02-19 high,0.6964285714285714,0.3450327796711771,7,39,55,0.7090909090909091
deepseek-ai/DeepSeek-R1,0.16785714285714287,0.16982087104914445,10,12,73,0.1643835616438356
deepseek-ai/DeepSeek-V3,0.3852813852813853,0.27874804775826784,11,30,79,0.379746835443038
gemini-2.0-flash,0.17129629629629628,0.24424313048706908,9,10,66,0.15151515151515152
gpt-4.1-2025-04-14,0.5762987012987013,0.24599712319807215,11,46,79,0.5822784810126582
o3-2025-04-03,0.375,,1,3,8,0.375
o3-2025-04-16,0.6956845238095238,0.3227554732634939,8,40,59,0.6779661016949152
o4-mini-2025-04-16 high,0.5984848484848485,0.2473980761461335,11,48,79,0.6075949367088608
o4-mini-2025-04-16 low,0.5032467532467533,0.2988351776642206,11,41,79,0.5189873417721519
