model_name_short,win_rate_mean,win_rate_std,win_rate_count,wins_sum,comparisons_sum,overall_win_rate
claude-3-7-sonnet-2025-02-19,0.3798701298701299,0.04841728149952843,11,30,79,0.379746835443038
claude-3-7-sonnet-2025-02-19 high,0.6377551020408163,0.03374682794725244,7,35,55,0.6363636363636364
deepseek-ai/DeepSeek-R1,0.10595238095238095,0.05742325385368169,10,8,73,0.1095890410958904
deepseek-ai/DeepSeek-V3,0.8863636363636364,0.05919280259278044,11,70,79,0.8860759493670886
gemini-2.0-flash,0.8611111111111112,0.020833333333333315,9,57,66,0.8636363636363636
gpt-4.1-2025-04-14,0.5216450216450217,0.05265571385135357,11,41,79,0.5189873417721519
o3-2025-04-03,0.0,,1,0,8,0.0
o3-2025-04-16,0.0,0.0,8,0,59,0.0
o4-mini-2025-04-16 high,0.2380952380952381,0.05243503701320296,11,19,79,0.24050632911392406
o4-mini-2025-04-16 low,0.7445887445887446,0.062398133848800524,11,59,79,0.7468354430379747
