model_name_short,win_rate_mean,win_rate_std,win_rate_count,wins_sum,comparisons_sum,overall_win_rate
claude-3-7-sonnet-2025-02-19,0.5485008818342151,0.38711216346752053,9,36,66,0.5454545454545454
claude-3-7-sonnet-2025-02-19 high,0.4095238095238095,0.3218740788733098,5,17,39,0.4358974358974359
claude-3-7-sonnet-2025-02-19 low,0.7777777777777778,0.31426968052735443,2,10,14,0.7142857142857143
claude-3-7-sonnet-20250219 low,0.7777777777777778,,1,7,9,0.7777777777777778
deepseek-ai/DeepSeek-R1,0.1488095238095238,0.17714852598639164,8,9,57,0.15789473684210525
deepseek-ai/DeepSeek-V3,0.31285714285714283,0.23992063346209336,10,22,71,0.30985915492957744
gemini-2.0-flash,0.18218694885361553,0.23066689628812337,9,10,64,0.15625
gpt-4.1,0.5714285714285714,,1,4,7,0.5714285714285714
gpt-4.1-2025-04-14,0.6056437389770724,0.27161776464823933,9,39,65,0.6
o3-2025-04-16,0.7883597883597884,0.22994881870900222,6,36,46,0.782608695652174
o4-mini-2025-04-16,0.5238095238095238,0.2973808570665904,3,11,21,0.5238095238095238
o4-mini-2025-04-16 high,0.7351190476190477,0.2274624101696112,8,43,59,0.7288135593220338
o4-mini-2025-04-16 low,0.5135802469135802,0.21524639316412064,9,33,64,0.515625
o4-mini-2025-04-16 medium,0.6666666666666666,,1,4,6,0.6666666666666666
