model_name_short,win_rate_mean,win_rate_std,win_rate_count,wins_sum,comparisons_sum,overall_win_rate
claude-3-7-sonnet-2025-02-19,0.23324514991181658,0.11138585253553847,9,16,70,0.22857142857142856
claude-3-7-sonnet-2025-02-19 high,0.5502645502645502,0.10022231104805568,6,26,48,0.5416666666666666
claude-3-7-sonnet-2025-02-19 low,0.6777777777777778,0.07370277311900891,4,22,32,0.6875
deepseek-ai/DeepSeek-R1,0.6412698412698412,0.13703951762931119,8,38,59,0.6440677966101694
deepseek-ai/DeepSeek-V3,0.8292063492063491,0.07673946102470923,10,62,75,0.8266666666666667
gemini-2.0-flash,0.8102292768959436,0.050730746708200755,9,55,68,0.8088235294117647
gpt-4.1-2025-04-14,0.30864197530864196,0.15790681524965022,9,22,69,0.3188405797101449
o3-2025-04-16,0.0,0.0,4,0,32,0.0
o3-2025-04-16 low,0.75,0.0,2,12,16,0.75
o3-2025-04-16 medium,0.7777777777777778,0.0,2,14,18,0.7777777777777778
o4-mini-2025-04-16,0.2222222222222222,0.048112522432468816,3,5,22,0.22727272727272727
o4-mini-2025-04-16 high,0.05599647266313933,0.06687992759530732,9,4,70,0.05714285714285714
o4-mini-2025-04-16 low,0.44896825396825396,0.13709514406147744,10,34,75,0.4533333333333333
